player_idx,player_id,name
1,1626156,D'Angelo Russell
2,1626157,Karl-Anthony Towns
3,1626166,Cameron Payne
4,1626167,Myles Turner
5,1626179,Terry Rozier
6,1627732,Ben Simmons
7,1627736,Malik Beasley
8,1627759,Jaylen Brown
9,1627783,Pascal Siakam
10,1627827,Dorian Finney-Smith
11,1628369,Jayson Tatum
12,1628371,Jonathan Isaac
13,1628384,OG Anunoby
14,1628389,Bam Adebayo
15,1628401,Derrick White
16,1628404,Josh Hart
17,1628418,Thomas Bryant
18,1628436,Luke Kornet
19,1628969,Mikal Bridges
20,1628973,Jalen Brunson
21,1628976,Wendell Carter Jr.
22,1628978,Donte DiVincenzo
23,1629003,Shake Milton
24,1629021,Moritz Wagner
25,1629027,Trae Young
26,1629048,Goga Bitadze
27,1629060,Rui Hachimura
28,1629130,Duncan Robinson
29,1629216,Gabe Vincent
30,1629312,Haywood Highsmith
31,1629614,Andrew Nembhard
32,1629631,De'Andre Hunter
33,1629637,Jaxson Hayes
34,1629638,Nickeil Alexander-Walker
35,1629639,Tyler Herro
36,1629651,Nic Claxton
37,1629661,Cameron Johnson
38,1629675,Naz Reid
39,1630162,Anthony Edwards
40,1630164,James Wiseman
41,1630167,Obi Toppin
42,1630168,Onyeka Okongwu
43,1630169,Tyrese Haliburton
44,1630174,Aaron Nesmith
45,1630175,Cole Anthony
46,1630183,Jaden McDaniels
47,1630191,Isaiah Stewart
48,1630202,Payton Pritchard
49,1630214,Xavier Tillman
50,1630249,Vít Krejčí
51,1630532,Franz Wagner
52,1630533,Ziaire Williams
53,1630540,Miles McBride
54,1630552,Jalen Johnson
55,1630559,Austin Reaves
56,1630560,Cam Thomas
57,1630573,Sam Hauser
58,1630574,NA
59,1630579,Jericho Sims
60,1630591,Jalen Suggs
61,1630592,Jalen Wilson
62,1630595,Cade Cunningham
63,1630696,Dru Smith
64,1630700,Dyson Daniels
65,1631093,Jaden Ivey
66,1631094,Paolo Banchero
67,1631097,Bennedict Mathurin
68,1631105,Jalen Duren
69,1631107,Nikola Jović
70,1631108,Max Christie
71,1631170,Jaime Jaquez Jr.
72,1631204,Marcus Sasser
73,1631210,Jacob Toppin
74,1631216,NA
75,1631323,Simone Fontecchio
76,1641710,Anthony Black
77,1641716,Jarace Walker
78,1641724,Jett Howard
79,1641730,Noah Clowney
80,1641767,NA
81,1641775,Jordan Walsh
82,1641783,Tristan da Silva
83,1641796,Pelle Larsson
84,1641842,Ronald Holland II
85,1642258,Zaccharie Risacher
86,1642261,Dalton Knecht
87,1642276,Kel'el Ware
88,1642278,Tyler Kolek
89,1642355,Bronny James
90,1642359,Pacôme Dadiet
91,1642402,NA
92,201143,Al Horford
93,201144,Mike Conley
94,201950,Jrue Holiday
95,202699,Tobias Harris
96,202709,Cory Joseph
97,202710,Jimmy Butler III
98,203076,Anthony Davis
99,203471,Dennis Schröder
100,203484,Kentavious Caldwell-Pope
101,203497,Rudy Gobert
102,203501,Tim Hardaway Jr.
103,203914,Gary Harris
104,203944,Julius Randle
105,203991,Clint Capela
106,203992,Bogdan Bogdanović
107,204060,Joe Ingles
108,204456,T.J. McConnell
109,2544,LeBron James
